1,2,3,4,5,6,7,8,9,resultado
x,x,x,x,o,o,x,o,o,positivo
x,x,x,x,o,o,o,x,o,positivo
x,x,x,x,o,o,o,o,x,positivo
x,x,x,x,o,o,o,b,b,positivo
x,x,x,x,o,o,b,o,b,positivo
x,x,x,x,o,o,b,b,o,positivo
x,x,x,x,o,b,o,o,b,positivo
x,x,x,x,o,b,o,b,o,positivo
x,x,x,x,o,b,b,o,o,positivo
x,x,x,x,b,o,o,o,b,positivo
x,x,x,x,b,o,o,b,o,positivo
x,x,x,x,b,o,b,o,o,positivo
x,x,x,o,x,o,x,o,o,positivo
x,x,x,o,x,o,o,x,o,positivo
x,x,x,o,x,o,o,o,x,positivo
x,x,x,o,x,o,o,b,b,positivo
x,x,x,o,x,o,b,o,b,positivo
x,x,x,o,x,o,b,b,o,positivo
x,x,x,o,x,b,o,o,b,positivo
x,x,x,o,x,b,o,b,o,positivo
x,x,x,o,x,b,b,o,o,positivo
x,x,x,o,o,x,x,o,o,positivo
x,x,x,o,o,x,o,x,o,positivo
x,x,x,o,o,x,o,o,x,positivo
x,x,x,o,o,x,o,b,b,positivo
x,x,x,o,o,x,b,o,b,positivo
x,x,x,o,o,x,b,b,o,positivo
x,x,x,o,o,b,x,o,b,positivo
x,x,x,o,o,b,x,b,o,positivo
x,x,x,o,o,b,o,x,b,positivo
x,x,x,o,o,b,o,b,x,positivo
x,x,x,o,o,b,b,x,o,positivo
x,x,x,o,o,b,b,o,x,positivo
x,x,x,o,o,b,b,b,b,positivo
x,x,x,o,b,x,o,o,b,positivo
x,x,x,o,b,x,o,b,o,positivo
x,x,x,o,b,x,b,o,o,positivo
x,x,x,o,b,o,x,o,b,positivo
x,x,x,o,b,o,x,b,o,positivo
x,x,x,o,b,o,o,x,b,positivo
x,x,x,o,b,o,o,b,x,positivo
x,x,x,o,b,o,b,x,o,positivo
x,x,x,o,b,o,b,o,x,positivo
x,x,x,o,b,o,b,b,b,positivo
x,x,x,o,b,b,x,o,o,positivo
x,x,x,o,b,b,o,x,o,positivo
x,x,x,o,b,b,o,o,x,positivo
x,x,x,o,b,b,o,b,b,positivo
x,x,x,o,b,b,b,o,b,positivo
x,x,x,o,b,b,b,b,o,positivo
x,x,x,b,x,o,o,o,b,positivo
x,x,x,b,x,o,o,b,o,positivo
x,x,x,b,x,o,b,o,o,positivo
x,x,x,b,o,x,o,o,b,positivo
x,x,x,b,o,x,o,b,o,positivo
x,x,x,b,o,x,b,o,o,positivo
x,x,x,b,o,o,x,o,b,positivo
x,x,x,b,o,o,x,b,o,positivo
x,x,x,b,o,o,o,x,b,positivo
x,x,x,b,o,o,o,b,x,positivo
x,x,x,b,o,o,b,x,o,positivo
x,x,x,b,o,o,b,o,x,positivo
x,x,x,b,o,o,b,b,b,positivo
x,x,x,b,o,b,x,o,o,positivo
x,x,x,b,o,b,o,x,o,positivo
x,x,x,b,o,b,o,o,x,positivo
x,x,x,b,o,b,o,b,b,positivo
x,x,x,b,o,b,b,o,b,positivo
x,x,x,b,o,b,b,b,o,positivo
x,x,x,b,b,o,x,o,o,positivo
x,x,x,b,b,o,o,x,o,positivo
x,x,x,b,b,o,o,o,x,positivo
x,x,x,b,b,o,o,b,b,positivo
x,x,x,b,b,o,b,o,b,positivo
x,x,x,b,b,o,b,b,o,positivo
x,x,x,b,b,b,o,o,b,positivo
x,x,x,b,b,b,o,b,o,positivo
x,x,x,b,b,b,b,o,o,positivo
x,x,o,x,x,o,o,o,x,positivo
x,x,o,x,o,x,x,o,o,positivo
x,x,o,x,o,o,x,o,x,positivo
x,x,o,x,o,o,x,b,b,positivo
x,x,o,x,o,b,x,o,b,positivo
x,x,o,x,o,b,x,b,o,positivo
x,x,o,x,b,o,x,o,b,positivo
x,x,o,x,b,b,x,o,o,positivo
x,x,o,o,x,x,o,x,o,positivo
x,x,o,o,x,x,o,o,x,positivo
x,x,o,o,x,o,x,o,x,positivo
x,x,o,o,x,o,o,x,x,positivo
x,x,o,o,x,o,b,x,b,positivo
x,x,o,o,x,o,b,b,x,positivo
x,x,o,o,x,b,o,x,b,positivo
x,x,o,o,x,b,o,b,x,positivo
x,x,o,o,x,b,b,x,o,positivo
x,x,o,o,x,b,b,o,x,positivo
x,x,o,b,x,o,o,x,b,positivo
x,x,o,b,x,o,o,b,x,positivo
x,x,o,b,x,o,b,o,x,positivo
x,x,o,b,x,b,o,x,o,positivo
x,x,o,b,x,b,o,o,x,positivo
x,x,b,x,o,o,x,o,b,positivo
x,x,b,x,o,o,x,b,o,positivo
x,x,b,x,o,b,x,o,o,positivo
x,x,b,x,b,o,x,o,o,positivo
x,x,b,o,x,o,o,x,b,positivo
x,x,b,o,x,o,o,b,x,positivo
x,x,b,o,x,o,b,x,o,positivo
x,x,b,o,x,o,b,o,x,positivo
x,x,b,o,x,b,o,x,o,positivo
x,x,b,o,x,b,o,o,x,positivo
x,x,b,b,x,o,o,x,o,positivo
x,x,b,b,x,o,o,o,x,positivo
x,o,x,x,x,o,x,o,o,positivo
x,o,x,x,x,o,o,o,x,positivo
x,o,x,x,o,o,x,x,o,positivo
x,o,x,x,o,o,x,b,b,positivo
x,o,x,x,o,b,x,b,o,positivo
x,o,x,x,b,o,x,o,b,positivo
x,o,x,x,b,o,x,b,o,positivo
x,o,x,x,b,b,x,o,o,positivo
x,o,x,o,x,x,x,o,o,positivo
x,o,x,o,x,x,o,o,x,positivo
x,o,x,o,x,o,x,x,o,positivo
x,o,x,o,x,o,x,o,x,positivo
x,o,x,o,x,o,x,b,b,positivo
x,o,x,o,x,o,o,x,x,positivo
x,o,x,o,x,o,b,b,x,positivo
x,o,x,o,x,b,x,o,b,positivo
x,o,x,o,x,b,x,b,o,positivo
x,o,x,o,x,b,o,b,x,positivo
x,o,x,o,x,b,b,o,x,positivo
x,o,x,o,o,x,o,x,x,positivo
x,o,x,o,o,x,b,b,x,positivo
x,o,x,o,b,x,o,b,x,positivo
x,o,x,o,b,x,b,o,x,positivo
x,o,x,b,x,o,x,o,b,positivo
x,o,x,b,x,o,x,b,o,positivo
x,o,x,b,x,o,o,b,x,positivo
x,o,x,b,x,o,b,o,x,positivo
x,o,x,b,x,b,x,o,o,positivo
x,o,x,b,x,b,o,o,x,positivo
x,o,x,b,o,x,o,b,x,positivo
x,o,x,b,b,x,o,o,x,positivo
x,o,o,x,x,x,x,o,o,positivo
x,o,o,x,x,x,o,x,o,positivo
x,o,o,x,x,x,o,o,x,positivo
x,o,o,x,x,x,o,b,b,positivo
x,o,o,x,x,x,b,o,b,positivo
x,o,o,x,x,x,b,b,o,positivo
x,o,o,x,x,o,x,o,x,positivo
x,o,o,x,x,o,x,b,b,positivo
x,o,o,x,x,o,o,x,x,positivo
x,o,o,x,x,o,b,b,x,positivo
x,o,o,x,x,b,x,o,b,positivo
x,o,o,x,x,b,x,b,o,positivo
x,o,o,x,x,b,o,b,x,positivo
x,o,o,x,x,b,b,o,x,positivo
x,o,o,x,o,x,x,x,o,positivo
x,o,o,x,o,x,x,b,b,positivo
x,o,o,x,o,o,x,x,x,positivo
x,o,o,x,o,b,x,x,b,positivo
x,o,o,x,o,b,x,b,x,positivo
x,o,o,x,b,x,x,o,b,positivo
x,o,o,x,b,x,x,b,o,positivo
x,o,o,x,b,o,x,x,b,positivo
x,o,o,x,b,o,x,b,x,positivo
x,o,o,x,b,b,x,x,o,positivo
x,o,o,x,b,b,x,o,x,positivo
x,o,o,x,b,b,x,b,b,positivo
x,o,o,o,x,x,x,o,x,positivo
x,o,o,o,x,x,o,x,x,positivo
x,o,o,o,x,x,b,b,x,positivo
x,o,o,o,x,o,x,x,x,positivo
x,o,o,o,x,b,x,b,x,positivo
x,o,o,o,x,b,b,x,x,positivo
x,o,o,o,o,x,x,x,x,positivo
x,o,o,o,b,b,x,x,x,positivo
x,o,o,b,x,x,o,b,x,positivo
x,o,o,b,x,x,b,o,x,positivo
x,o,o,b,x,o,x,b,x,positivo
x,o,o,b,x,o,b,x,x,positivo
x,o,o,b,x,b,x,o,x,positivo
x,o,o,b,x,b,o,x,x,positivo
x,o,o,b,x,b,b,b,x,positivo
x,o,o,b,o,b,x,x,x,positivo
x,o,o,b,b,o,x,x,x,positivo
x,o,b,x,x,x,o,o,b,positivo
x,o,b,x,x,x,o,b,o,positivo
x,o,b,x,x,x,b,o,o,positivo
x,o,b,x,x,o,x,o,b,positivo
x,o,b,x,x,o,x,b,o,positivo
x,o,b,x,x,o,o,b,x,positivo
x,o,b,x,x,o,b,o,x,positivo
x,o,b,x,x,b,x,o,o,positivo
x,o,b,x,x,b,o,o,x,positivo
x,o,b,x,o,x,x,b,o,positivo
x,o,b,x,o,o,x,x,b,positivo
x,o,b,x,o,o,x,b,x,positivo
x,o,b,x,o,b,x,x,o,positivo
x,o,b,x,o,b,x,b,b,positivo
x,o,b,x,b,x,x,o,o,positivo
x,o,b,x,b,o,x,x,o,positivo
x,o,b,x,b,o,x,o,x,positivo
x,o,b,x,b,o,x,b,b,positivo
x,o,b,x,b,b,x,o,b,positivo
x,o,b,x,b,b,x,b,o,positivo
x,o,b,o,x,x,o,b,x,positivo
x,o,b,o,x,x,b,o,x,positivo
x,o,b,o,x,o,x,b,x,positivo
x,o,b,o,x,o,b,x,x,positivo
x,o,b,o,x,b,x,o,x,positivo
x,o,b,o,x,b,o,x,x,positivo
x,o,b,o,x,b,b,b,x,positivo
x,o,b,o,o,b,x,x,x,positivo
x,o,b,o,b,o,x,x,x,positivo
x,o,b,b,x,x,o,o,x,positivo
x,o,b,b,x,o,x,o,x,positivo
x,o,b,b,x,o,o,x,x,positivo
x,o,b,b,x,o,b,b,x,positivo
x,o,b,b,x,b,o,b,x,positivo
x,o,b,b,x,b,b,o,x,positivo
x,o,b,b,o,o,x,x,x,positivo
x,b,x,x,o,o,x,o,b,positivo
x,b,x,x,o,o,x,b,o,positivo
x,b,x,x,o,b,x,o,o,positivo
x,b,x,x,b,o,x,o,o,positivo
x,b,x,o,x,o,x,o,b,positivo
x,b,x,o,x,o,x,b,o,positivo
x,b,x,o,x,o,o,b,x,positivo
x,b,x,o,x,o,b,o,x,positivo
x,b,x,o,x,b,x,o,o,positivo
x,b,x,o,x,b,o,o,x,positivo
x,b,x,o,o,x,o,b,x,positivo
x,b,x,o,o,x,b,o,x,positivo
x,b,x,o,b,x,o,o,x,positivo
x,b,x,b,x,o,x,o,o,positivo
x,b,x,b,x,o,o,o,x,positivo
x,b,x,b,o,x,o,o,x,positivo
x,b,o,x,x,x,o,o,b,positivo
x,b,o,x,x,x,o,b,o,positivo
x,b,o,x,x,x,b,o,o,positivo
x,b,o,x,x,o,x,o,b,positivo
x,b,o,x,x,o,o,b,x,positivo
x,b,o,x,x,o,b,o,x,positivo
x,b,o,x,x,b,x,o,o,positivo
x,b,o,x,x,b,o,o,x,positivo
x,b,o,x,o,x,x,o,b,positivo
x,b,o,x,o,x,x,b,o,positivo
x,b,o,x,o,o,x,x,b,positivo
x,b,o,x,o,o,x,b,x,positivo
x,b,o,x,o,b,x,x,o,positivo
x,b,o,x,o,b,x,o,x,positivo
x,b,o,x,o,b,x,b,b,positivo
x,b,o,x,b,x,x,o,o,positivo
x,b,o,x,b,o,x,o,x,positivo
x,b,o,x,b,o,x,b,b,positivo
x,b,o,x,b,b,x,o,b,positivo
x,b,o,x,b,b,x,b,o,positivo
x,b,o,o,x,x,o,b,x,positivo
x,b,o,o,x,x,b,o,x,positivo
x,b,o,o,x,o,x,b,x,positivo
x,b,o,o,x,o,b,x,x,positivo
x,b,o,o,x,b,x,o,x,positivo
x,b,o,o,x,b,o,x,x,positivo
x,b,o,o,x,b,b,b,x,positivo
x,b,o,o,o,b,x,x,x,positivo
x,b,o,o,b,o,x,x,x,positivo
x,b,o,b,x,x,o,o,x,positivo
x,b,o,b,x,o,x,o,x,positivo
x,b,o,b,x,o,o,x,x,positivo
x,b,o,b,x,o,b,b,x,positivo
x,b,o,b,x,b,o,b,x,positivo
x,b,o,b,x,b,b,o,x,positivo
x,b,o,b,o,o,x,x,x,positivo
x,b,b,x,x,o,x,o,o,positivo
x,b,b,x,x,o,o,o,x,positivo
x,b,b,x,o,x,x,o,o,positivo
x,b,b,x,o,o,x,x,o,positivo
x,b,b,x,o,o,x,o,x,positivo
x,b,b,x,o,o,x,b,b,positivo
x,b,b,x,o,b,x,o,b,positivo
x,b,b,x,o,b,x,b,o,positivo
x,b,b,x,b,o,x,o,b,positivo
x,b,b,x,b,o,x,b,o,positivo
x,b,b,x,b,b,x,o,o,positivo
x,b,b,o,x,x,o,o,x,positivo
x,b,b,o,x,o,x,o,x,positivo
x,b,b,o,x,o,o,x,x,positivo
x,b,b,o,x,o,b,b,x,positivo
x,b,b,o,x,b,o,b,x,positivo
x,b,b,o,x,b,b,o,x,positivo
x,b,b,b,x,o,o,b,x,positivo
x,b,b,b,x,o,b,o,x,positivo
x,b,b,b,x,b,o,o,x,positivo
o,x,x,x,x,o,x,o,o,positivo
o,x,x,x,x,o,o,x,o,positivo
o,x,x,x,o,x,o,o,x,positivo
o,x,x,o,x,x,x,o,o,positivo
o,x,x,o,x,o,x,x,o,positivo
o,x,x,o,x,o,x,o,x,positivo
o,x,x,o,x,o,x,b,b,positivo
o,x,x,o,x,o,b,x,b,positivo
o,x,x,o,x,b,x,o,b,positivo
o,x,x,o,x,b,x,b,o,positivo
o,x,x,o,x,b,b,x,o,positivo
o,x,x,o,o,x,x,o,x,positivo
o,x,x,o,o,x,b,b,x,positivo
o,x,x,o,b,x,b,o,x,positivo
o,x,x,b,x,o,x,o,b,positivo
o,x,x,b,x,o,x,b,o,positivo
o,x,x,b,x,o,o,x,b,positivo
o,x,x,b,x,o,b,x,o,positivo
o,x,x,b,x,b,x,o,o,positivo
o,x,x,b,x,b,o,x,o,positivo
o,x,x,b,o,x,o,b,x,positivo
o,x,x,b,o,x,b,o,x,positivo
o,x,x,b,b,x,o,o,x,positivo
o,x,o,x,x,x,x,o,o,positivo
o,x,o,x,x,x,o,x,o,positivo
o,x,o,x,x,x,o,o,x,positivo
o,x,o,x,x,x,o,b,b,positivo
o,x,o,x,x,x,b,o,b,positivo
o,x,o,x,x,x,b,b,o,positivo
o,x,o,x,x,o,o,x,x,positivo
o,x,o,x,x,o,b,x,b,positivo
o,x,o,x,x,b,o,x,b,positivo
o,x,o,x,x,b,b,x,o,positivo
o,x,o,x,o,o,x,x,x,positivo
o,x,o,o,x,x,x,x,o,positivo
o,x,o,o,x,x,b,x,b,positivo
o,x,o,o,x,o,x,x,x,positivo
o,x,o,o,x,b,x,x,b,positivo
o,x,o,o,x,b,b,x,x,positivo
o,x,o,o,o,x,x,x,x,positivo
o,x,o,o,b,b,x,x,x,positivo
o,x,o,b,x,x,o,x,b,positivo
o,x,o,b,x,x,b,x,o,positivo
o,x,o,b,x,o,x,x,b,positivo
o,x,o,b,x,o,b,x,x,positivo
o,x,o,b,x,b,x,x,o,positivo
o,x,o,b,x,b,o,x,x,positivo
o,x,o,b,x,b,b,x,b,positivo
o,x,o,b,o,b,x,x,x,positivo
o,x,o,b,b,o,x,x,x,positivo
o,x,b,x,x,x,o,o,b,positivo
o,x,b,x,x,x,o,b,o,positivo
o,x,b,x,x,x,b,o,o,positivo
o,x,b,x,x,o,o,x,b,positivo
o,x,b,x,x,o,b,x,o,positivo
o,x,b,x,x,b,o,x,o,positivo
o,x,b,o,x,x,b,x,o,positivo
o,x,b,o,x,o,x,x,b,positivo
o,x,b,o,x,o,b,x,x,positivo
o,x,b,o,x,b,x,x,o,positivo
o,x,b,o,x,b,b,x,b,positivo
o,x,b,o,o,b,x,x,x,positivo
o,x,b,o,b,o,x,x,x,positivo
o,x,b,b,x,x,o,x,o,positivo
o,x,b,b,x,o,x,x,o,positivo
o,x,b,b,x,o,o,x,x,positivo
o,x,b,b,x,o,b,x,b,positivo
o,x,b,b,x,b,o,x,b,positivo
o,x,b,b,x,b,b,x,o,positivo
o,x,b,b,o,o,x,x,x,positivo
o,o,x,x,x,x,x,o,o,positivo
o,o,x,x,x,x,o,x,o,positivo
o,o,x,x,x,x,o,o,x,positivo
o,o,x,x,x,x,o,b,b,positivo
o,o,x,x,x,x,b,o,b,positivo
o,o,x,x,x,x,b,b,o,positivo
o,o,x,x,x,o,x,x,o,positivo
o,o,x,x,x,o,x,o,x,positivo
o,o,x,x,x,o,x,b,b,positivo
o,o,x,x,x,b,x,o,b,positivo
o,o,x,x,x,b,x,b,o,positivo
o,o,x,x,o,x,o,x,x,positivo
o,o,x,x,o,x,b,b,x,positivo
o,o,x,x,o,o,x,x,x,positivo
o,o,x,x,b,x,o,b,x,positivo
o,o,x,x,b,x,b,o,x,positivo
o,o,x,o,x,x,x,x,o,positivo
o,o,x,o,x,x,x,o,x,positivo
o,o,x,o,x,x,x,b,b,positivo
o,o,x,o,x,x,b,b,x,positivo
o,o,x,o,x,o,x,x,x,positivo
o,o,x,o,x,b,x,x,b,positivo
o,o,x,o,x,b,x,b,x,positivo
o,o,x,o,o,x,x,x,x,positivo
o,o,x,o,b,x,x,b,x,positivo
o,o,x,o,b,x,b,x,x,positivo
o,o,x,o,b,b,x,x,x,positivo
o,o,x,b,x,x,x,o,b,positivo
o,o,x,b,x,x,x,b,o,positivo
o,o,x,b,x,x,o,b,x,positivo
o,o,x,b,x,x,b,o,x,positivo
o,o,x,b,x,o,x,x,b,positivo
o,o,x,b,x,o,x,b,x,positivo
o,o,x,b,x,b,x,x,o,positivo
o,o,x,b,x,b,x,o,x,positivo
o,o,x,b,x,b,x,b,b,positivo
o,o,x,b,o,x,x,b,x,positivo
o,o,x,b,o,x,b,x,x,positivo
o,o,x,b,o,b,x,x,x,positivo
o,o,x,b,b,x,x,o,x,positivo
o,o,x,b,b,x,o,x,x,positivo
o,o,x,b,b,x,b,b,x,positivo
o,o,x,b,b,o,x,x,x,positivo
o,o,b,x,x,x,x,o,b,positivo
o,o,b,x,x,x,x,b,o,positivo
o,o,b,x,x,x,o,x,b,positivo
o,o,b,x,x,x,o,b,x,positivo
o,o,b,x,x,x,b,x,o,positivo
o,o,b,x,x,x,b,o,x,positivo
o,o,b,x,x,x,b,b,b,positivo
o,o,b,x,o,b,x,x,x,positivo
o,o,b,x,b,o,x,x,x,positivo
o,o,b,o,x,b,x,x,x,positivo
o,o,b,o,b,x,x,x,x,positivo
o,o,b,b,x,o,x,x,x,positivo
o,o,b,b,o,x,x,x,x,positivo
o,o,b,b,b,b,x,x,x,positivo
o,b,x,x,x,x,o,o,b,positivo
o,b,x,x,x,x,o,b,o,positivo
o,b,x,x,x,x,b,o,o,positivo
o,b,x,x,x,o,x,o,b,positivo
o,b,x,x,x,o,x,b,o,positivo
o,b,x,x,x,b,x,o,o,positivo
o,b,x,x,o,x,o,b,x,positivo
o,b,x,x,o,x,b,o,x,positivo
o,b,x,x,b,x,o,o,x,positivo
o,b,x,o,x,x,x,o,b,positivo
o,b,x,o,x,x,x,b,o,positivo
o,b,x,o,x,x,b,o,x,positivo
o,b,x,o,x,o,x,x,b,positivo
o,b,x,o,x,o,x,b,x,positivo
o,b,x,o,x,b,x,x,o,positivo
o,b,x,o,x,b,x,o,x,positivo
o,b,x,o,x,b,x,b,b,positivo
o,b,x,o,o,x,x,b,x,positivo
o,b,x,o,o,x,b,x,x,positivo
o,b,x,o,o,b,x,x,x,positivo
o,b,x,o,b,x,x,o,x,positivo
o,b,x,o,b,x,b,b,x,positivo
o,b,x,o,b,o,x,x,x,positivo
o,b,x,b,x,x,x,o,o,positivo
o,b,x,b,x,x,o,o,x,positivo
o,b,x,b,x,o,x,x,o,positivo
o,b,x,b,x,o,x,o,x,positivo
o,b,x,b,x,o,x,b,b,positivo
o,b,x,b,x,b,x,o,b,positivo
o,b,x,b,x,b,x,b,o,positivo
o,b,x,b,o,x,x,o,x,positivo
o,b,x,b,o,x,o,x,x,positivo
o,b,x,b,o,x,b,b,x,positivo
o,b,x,b,o,o,x,x,x,positivo
o,b,x,b,b,x,o,b,x,positivo
o,b,x,b,b,x,b,o,x,positivo
o,b,o,x,x,x,x,o,b,positivo
o,b,o,x,x,x,x,b,o,positivo
o,b,o,x,x,x,o,x,b,positivo
o,b,o,x,x,x,o,b,x,positivo
o,b,o,x,x,x,b,x,o,positivo
o,b,o,x,x,x,b,o,x,positivo
o,b,o,x,x,x,b,b,b,positivo
o,b,o,x,o,b,x,x,x,positivo
o,b,o,x,b,o,x,x,x,positivo
o,b,o,o,x,b,x,x,x,positivo
o,b,o,o,b,x,x,x,x,positivo
o,b,o,b,x,o,x,x,x,positivo
o,b,o,b,o,x,x,x,x,positivo
o,b,o,b,b,b,x,x,x,positivo
o,b,b,x,x,x,x,o,o,positivo
o,b,b,x,x,x,o,x,o,positivo
o,b,b,x,x,x,o,o,x,positivo
o,b,b,x,x,x,o,b,b,positivo
o,b,b,x,x,x,b,o,b,positivo
o,b,b,x,x,x,b,b,o,positivo
